card_code,variant_label,drive_file_id
KC001,,1VCocoHABayxgwcdZxtH3LD07vMnUWfry
KC001,Alternativo,1bwOA2MLAObBLXKG4M0_IGa2EMNPndDTS
KC001,Alternativo Foil Art Holo,11VD1hI0lsi-YdkAGT7HVpY68G5sLTACr
KC001,Alternativo Stamp,1ehNN8vDoz5bM6sMQPIUFxsuJJWlFzdb-
KC001,Arte 2,1X4QJZ5kVc6Pi3abFOYYCkCMXAU6Abq6_
KC001,Arte 3,1bkwW-wIfar4Ung9rnWhEbXezzqbJO-PC
KC001,Holo,1ATR5qEbpqdwDcVl0OnZpsDeH8XBVgp07
KC001,Promo,1NXybLRx_ZH8lSpi7tvjbGYpSowPfk2XV
KC001,Promo Foil Art,1LptWDPRYbgKrbBdZCpnPseu02wuj8ak0
KC001,Promo Foil Art Holo,1df5TWuZjvI6gxD5L81jFtu99BXg7g3nb
KC001,Stamp Gold,12W5LmJxsL4Dp6iQfpPfz43nwuQhmSmzJ
KC002,,1vFZld00hN645BlQ4RZIIJkGxfK3CLPJa
KC002,Alternativo,1GdYBGRn4Y9rOSsprTBPCugPI5ufap58A
KC002,Alternativo Foil Art Holo,1L0_0FzEk-wNzVeirCFt6dcPHKzfWj_CM
KC002,Alternativo Stamp,1rwDrS6fYt4Id_jrku56R9eF3nXQUQ3ev
KC002,Arte 2,1LRAX026I4l9oqfjTWSYoisWSYTofk5j8
KC002,Arte 3,1MpWqlxB9yQGe6s3C9tdEeaTa2ig7OgAn
KC002,Holo,1MZD8gA7UARQb_0Q2ci5sgyPM9gdNM6pT
KC002,Promo,1kn1tv3MUYOosmqOwpYAEkZNcn4jwLek0
KC002,Promo Foil Art,1pxHridOidhp1p52GWql0d3IHbnu3ITup
KC002,Promo Foil Art Holo,1dESS902_9STvt_b8MPVjsF8Qug-GUX7j
KC002,Stamp Gold,1_EXC1imsAEnCukbOFxAKH5Lspw2YY0kW
KC003,,1_1M29jg3EkS0D5ykMmryHJNw6pwctyUT
KC003,Alternativo,1DohuJcgjzpsDWkf2wwZlluZmOqizsvSD
KC003,Alternativo Foil Art Holo,1PJqRnhZTuEH8D8J72CO5i_4xl9vFENRD
KC003,Alternativo Stamp,1LOyKBv6W3bNLt7V8Cy4iUgPJ_TkGY_-k
KC003,Arte 3,1wepZ2up2nqXSqmydSQHv6hysvh_mCGMz
KC003,Holo,1TIsT4ufVvAuKPaYeN1x1dYBQSAvSyfu0
KC003,Promo,1wftz89mtmmvODpCLZT4KhERrEO2msnIG
KC003,Promo Foil Art,1vXmOmDGtQCOYsgPIlCKckTkoskTqMtpF
KC003,Promo Foil Art Holo,10QVyPn4HYk462YDuc0w0fhiwSnKfdYLY
KC003,Stamp Gold,1H6ashlrPJuLyKF0EXs8qUPqTuy1Pp8Mv
KC004,,1A8HJIAZtLIqwZOhaG7cgfsAc5chW5wor
KC004,Alternativo,1g9fiUWQxkXgrDHmtfagea39rPScCswQE
KC004,Alternativo Foil Art Holo,1DIK2zShNSxq1ZEMZITo_vyWlCKDBZ8aR
KC004,Alternativo Stamp,1IpLviVB9tSP_nRYjzh_DLeDEr1hc7fUo
KC004,Holo,1-ZtIxKqYIxGM4tmEaRcfyK9q2kN95ibJ
KC004,Promo,1eOCBQ0-LRDTbina1pAR1fLfdLqplOpsB
KC004,Promo Foil Art,1IYF7fYdZmVeZImedpufhyM-YtazY4Qdu
KC004,Promo Foil Art Holo,1-5zhm8NBqzu6xPUHsTWfa4JFNAeNpc7A
KC004,Stamp Gold,11fB59R5jjzwL_wJ6Ye7Vek1oVNfRkBdP
KR001,,1n7CZTQ82nzW_lnFzYdlNwer_WFHvS8YR
KR001,Arte 2,1Tsi2VyhBxdPDL3qqcPDxUwdHuGvQLZI-
KR001,Stamp,17o0miLPeKgAyjuaH68iAJzEmrokZ65o8
KR001,Stamp Holo,1XWBIdXX2xmLlJfgpQlKDwFKbaLuZni3T
KR002,,1JHIHFhORZyx821Zy-ZgdrSBLoHwrUmlV
KR002,Arte 2,1tGWT0iMQZtnmGsxgIiu-UkcsT4z5ZZ3x
KR002,Stamp,16WxTszpUHX_HzJgnfLle79j4COypa9P_
KR002,Stamp Holo,1Ay20angivgYKSGrXiDTEI-fI0YHdtDfF
KR003,,1Q2Gp9b2ODwFiXwgNMEwq5xSjskCFc6Ev
KR003,Arte 2,1s7rtNmRhw67LY1pxm7vEnxmVw_3mH9CO
KR003,Stamp,1eQY7f4LMqGe_TRGI12G1ayH6rbOilYzn
KR003,Stamp Holo,1Wp8sFlxnxgUUnAwETNcdBv-7_otMntY5
KR004,,1KOzL185Sj9glUrVbNq4RxCaBNYfBWTKq
KR004,Arte 2,1hKu1IiEmRDQa9xnZbz53hQQiCqDPVjQ-
KR004,Stamp,1nJmr-WMeQlyejnwu6P2j6FbpIx99mWIu
KR004,Stamp Holo,1TGFSGuC4dXKX6k1iwYN-O1BGRFSRIriZ
KR005,,1stqTKVns2E8dnKXu94Baxl5v9n6AzDC-
KR005,Arte 2,1iEcX7wl9_S97Z2hejUll-LUHO154hJEq
KR005,Stamp,1zlhz92PxegjlMIzHGzsN2iG53NZvgzNO
KR005,Stamp Holo,129E_ive9Ac0LqMLp3uO_A44kUffcUxNJ
KR006,,1d3CpM0TndHGvvzEYxyxZT9az0SH7kd4n
KR006,Arte 2,1_md6ms5nSBktiD4sxvIfEhSucFJsjZ2T
KR006,Stamp,1x86IyKbmNWH7tb5RJ0QPaVXR39NGvnDF
KR006,Stamp Holo,1BIB-nCFZ2_uj-RMOq--mLbjPTEmNbOs_
KR007,,1bzDQ_-eEHTbRKM9Aoig3JW_eLS_PJvJO
KR007,Arte 2,1kS0TWHZhSbLQZNPzElJJ_vtlrCG263mS
KR007,Stamp,1myN4FRQEYEEaoBtHN0WV4r0Mhdq2yPfq
KR007,Stamp Holo,14qjg-LyYzSo9gSo0YHxptxkPT7-K25o8
KR008,,1raoY8SylyL8BAwfntVUb2QiT_bNpmfJr
KR008,Arte 2,1IrE3Am_uwAF9Nu647MdOceMbZxv12R8i
KR008,Stamp,1GDvD6vy1omAIJpvBjvMyufHLMbor3jQ6
KR008,Stamp Holo,1SRGwPClyg9QK7O523aTRnxgLtBsmR1QF
KR009,,1incK3X4OQ1EdZlLaNY10tpHijOLKIVER
KR009,Arte 2,1AnUSN3LBjmE8EhlOjEsgtccZUpX6qWLX
KR009,Stamp,1wpcW4WB8EZHIhNrLQedw2jIqs8EmpbM-
KR009,Stamp Holo,1C8ufPEB-KLfkkc1KHlUyU5roMCdygv7p
KR010,,1IGe5XSDA16LcxlsehmSXsheyXvktdcZ_
KR010,Arte 2,1m8gH73hDJPvwPD2D5NKqpmFi9w286tGO
KR010,Stamp,1OuE_KaaRaZc3nzHGsRm3hrTJRpC6PRh9
KR010,Stamp Holo,1U15Eo9Pn23PyiAjB2BYQiuIAoDvg0VPy
